Name,NAICS Code Description,NAICS Code,Facility Type,Excess Food (tons per year),ReceivedFood_TonYear,Address,City,County,GNIS,State,Zip Code,Phone Number,Website,Latitude,Longitude,Unique Identifier
Westside Foodbank,Food Banks,624210,Food Bank,,,1710  22nd st.,Santa Monica,Los Angeles County,00277283,CA,90404,,,34.025624,-118.472977,FB0218
The Resource Connection of Amador & Calaveras Counties,Food Banks,624210,Food Bank,,,PO Box 919,San Andreas,Calaveras County,01675885,CA,95249,,,38.19136,-120.661057,FB0219
Second Harvest Food Bank of Santa Clara and San Mateo Counties,Food Banks,624210,Food Bank,,,750 Curtner Avenue,San Jose,Santa Clara County,00277307,CA,95125,408-266-8866,http://www.SHFB.org,37.292523,-121.877148,FB022
Amador Tuolumne Community Action Agency(ATCAS),Food Banks,624210,Food Bank,,,427 N. Hwy 49 #103,Sonora,Tuolumne County,00277319,CA,95370,,,37.991528,-120.384189,FB0220
Food Bank of El Dorado County,Food Banks,624210,Food Bank,,,6230 Enterprise Drive,Diamond Springs,El Dorado County,00277273,CA,95619,,,38.696273,-120.827021,FB0221
Merced County Food Bank,Food Banks,624210,Food Bank,,,2000 W. Olive Avenue,Merced,Merced County,00277288,CA,95348,,,37.319004,-120.503751,FB0222
"North County's Food Bank, NCCS",Food Banks,624210,Food Bank,,,"680 Rancheros Road, #100",San Marcos,San Diego County,00277301,CA,92069,,,33.139756,-117.145615,FB0223
Food Bank Coalition of San Luis Obispo County,Food Banks,624210,Food Bank,,,PO Box 2070,Paso Robles,San Luis Obispo County,00277304,CA,93446,,,35.620503,-120.689599,FB0224
Food For People,Food Banks,624210,Food Bank,,,307 W. 14th St.,Eureka,Humboldt County,01681908,CA,95501,,,40.794087,-124.174203,FB0225
Mendocino Food & Nutrition Program,Food Banks,624210,Food Bank,,,PO Box 70,Ft. Bragg,Mendocino County,00277287,CA,95437,,,39.438211,-123.79089,FB0226
Community FB of San Benito Co.,Food Banks,624210,Food Bank,,,11 33 San Felipe Road,Hollister,San Benito County,00277299,CA,95023,,,36.856938,-121.401855,FB0227
Food Bank of Lower Fairfield County,Food Banks,624210,Food Bank,,,461 Glenbrook Road,Stamford,Fairfield County,00212794,CT,06906,,,41.069097,-73.520331,FB0228
Gemma E. Moran United Way/ Labor Food Center,Food Banks,624210,Food Bank,,,374 Broad Street,New London,New London County,00212799,CT,06320,,,41.362721,-72.113529,FB0229
Second Harvest Food Bank Santa Cruz County,Food Banks,624210,Food Bank,183.979,4860.0505,800 Ohlone Parkway,Watsonville,Santa Cruz County,00277308,CA,95076,831-722-7110,http://www.thefoodbank.org,36.902935,-121.772709,FB023
Florida Gateway Food Bank,Food Banks,624210,Food Bank,,,258 NW Burk Avenue,Lake City,Columbia County,00306909,FL,32055,,,30.188011,-82.653513,FB0230
Bread of the Mighty Food Bank,Food Banks,624210,Food Bank,,,325 NW 10th Avenue,Gainesville,Alachua County,00308548,FL,32601,,,29.661103,-82.328391,FB0231
First Step Food Bank,Food Banks,624210,Food Bank,,,PO Box 4774,Ocala,Marion County,00306922,FL,34471,,,29.183242,-82.13786,FB0232
Heartland Food Bank,Food Banks,624210,Food Bank,,,227 US Highway 27 South,Sebring,Highlands County,00295756,FL,33870,,,27.481229,-81.477921,FB0233
Community Food Bank of Citrus County,Food Banks,624210,Food Bank,,,5259 W Cardinal Street,Homosassa,Citrus County,00295752,FL,34446,,,28.764058,-82.520742,FB0234
"Food Bank of Manatee, Inc.",Food Banks,624210,Food Bank,,,"81 1 23,d Avenue East",Bradenton,Manatee County,00295744,FL,34210,,,27.461056,-82.667264,FB0235
Catholic Charities/Agape Food Bank,Food Banks,624210,Food Bank,,,"2560 Old Combee Road, Ste #9",Lakeland,Polk County,00295747,FL,33805,,,28.10292,-81.90682,FB0236
Georgia Mountain Food Bank,Food Banks,624210,Food Bank,,,P.O. Box 233,Gainesville,Hall County,01686953,GA,30501,,,34.304422,-83.825708,FB0237
The Food Basket,Food Banks,624210,Food Bank,,,140-B Holomua St,Hilo,Hawaii County,00365280,HI,96720,,,19.701767,-155.066239,FB0238
Maui Food Bank,Food Banks,624210,Food Bank,,,760 Kolu St.,Wailuku,Maui County,00365283,HI,96793,,,20.904412,-156.486541,FB0239
FIND Food Bank,Food Banks,624210,Food Bank,51.1795,5338.8905,83-775 Citrus Ave,Indio,Riverside County,00277297,CA,92201,760-775-3663,http://www.FINDfoodbank.org,33.718095,-116.205334,FB024
Sauk Valley Foodbank,Food Banks,624210,Food Bank,,,1801 P. Long Rd,Sterling,Whiteside County,01785167,IL,61081,,,41.806461,-89.702198,FB0240
St. Stephen's Cupboard,Food Banks,624210,Food Bank,,,PO Box 3257,Dubuque,Dubuque County,00465219,IA,52001,,,42.515383,-90.684538,FB0241
Food Bank of Southern Iowa,Food Banks,624210,Food Bank,,,225 S Benton Street,Ottumwa,Wapello County,00465278,IA,52501,,,41.024624,-92.42416,FB0242
Church Community Services,Food Banks,624210,Food Bank,,,907 Oakland Ave,Elkhart,Elkhart County,00450348,IN,46516,,,41.67494,-85.984928,FB0244
Purchase Area Development District Food Bank,Food Banks,624210,Food Bank,,,P O Box 588 1002 Medical Drive,Mayfield,Graves County,00516888,KY,42066,,,36.754199,-88.652641,FB0245
Our Daily Bread,Food Banks,624210,Food Bank,,,509 S Chestnut,Hammond,Tangipahoa Parish,00559500,LA,70403,,,30.501656,-90.452933,FB0246
Garrett County Food Resources,Food Banks,624210,Food Bank,,,104 E. Center St.,Oakland,Garrett County,01711058,MD,21550,,,39.411127,-79.407803,FB0247
Hartford Community Action Agency,Food Banks,624210,Food Bank,,,1321 B Woodbridge Station Way,Edgewood,Harford County,01698178,MD,21040,,,39.431367,-76.330537,FB0248
"Food Resources, Inc.",Food Banks,624210,Food Bank,,,220 Mc Rand Ct.,Hagerstown,Washington County,01714220,MD,21740,,,39.647856,-77.747829,FB0249
Alameda County Community Food Bank,Food Banks,624210,Food Bank,,,7900 Edgewater Drive,Oakland,Alameda County,01675839,CA,94621,510-635-3663,http://www.accfb.org,37.74103,-122.202177,FB025
Southern Maryland Food Bank,Food Banks,624210,Food Bank,,,Po Box 613,Hughesville,Charles County,01676992,MD,20637,,,38.526451,-76.774377,FB0250
Western Maryland Food Bank,Food Banks,624210,Food Bank,,,PO Box 243,Cumberland,Allegany County,01713506,MD,21502,,,39.64761,-78.773027,FB0251
Maine Outreach,Food Banks,624210,Food Bank,,,P.O. Box 306,Unity,Waldo County,00581299,ME,04988,,,44.614034,-69.331077,FB0252
Catholic Charities Maine (CC Maine),Food Banks,624210,Food Bank,,,P.O. Box 748,Caribou,Aroostook County,00581287,ME,04736,,,46.859289,-68.01124,FB0253
Loaves and Fishes,Food Banks,624210,Food Bank,,,913 E. Alcott,Kalamazoo,Kalamazoo County,01622981,MI,49001,,,42.270859,-85.569639,FB0254
Western Upper Peninsula Food Bank - BHKCAA,Food Banks,624210,Food Bank,,,962 Dodge Street,Houghton,Houghton County,01622973,MI,49931,,,47.115654,-88.569434,FB0255
"Manna Project, Inc.",Food Banks,624210,Food Bank,,,291 McBride Park Court,Harbor Springs,Emmet County,01622966,MI,49740,,,45.425416,-84.891509,FB0256
Food Rescue of Northwest Michigan,Food Banks,624210,Food Bank,,,2279 South Airport Road West,Traverse City,Grand Traverse County,01622970,MI,49684,,,44.733432,-85.620436,FB0257
Monroe County Opportunity Program (MCOP),Food Banks,624210,Food Bank,,,1140 S. Telegraph Rd,Monroe,Monroe County,01623000,MI,48161,,,41.910919,-83.421668,FB0258
Macomb Food Program,Food Banks,624210,Food Bank,,,44800 Vic Wertz Drive,Clinton Township,Macomb County,01622992,MI,48036,,,42.626853,-82.869615,FB0259
Placer Food Bank,Food Banks,624210,Food Bank,195.828,3988.712,8284 Industrial Ave,Roseville,Placer County,00277295,CA,95678,916-783-0481,http://www.placerfoodbank.org,38.785107,-121.307833,FB026
Feed My People Food Bank,Food Banks,624210,Food Bank,,,2610 Alpine Road,Eau Claire,Eau Claire County,01581077,WI,54703,,,44.839107,-91.547768,FB0260
Flint Hills Breadbasket,Food Banks,624210,Food Bank,,,905 Yuma,Manhattan,Riley County,00485044,KS,66502,,,39.175203,-96.570362,FB0261
Great Falls Community Food Bank,Food Banks,624210,Food Bank,,,1620 12'h Avenue North,Great Falls,Cascade County,01719622,MT,59401,,,47.509077,-111.279808,FB0262
"The Food Bank of Siouxland, Inc.",Food Banks,624210,Food Bank,,,1313  11 Street,Sioux City,Woodbury County,00465285,IA,51105,,,42.501957,-96.393082,FB0263
Mid-Nebraska Community Action Partnership,Food Banks,624210,Food Bank,,,114 East 11th St.,Kearney,Buffalo County,00835831,NE,68847,,,40.68504,-99.08037,FB0264
NORWESCAP Food Bank,Food Banks,624210,Food Bank,,,201 N Broad Street,Phillipsburg,Warren County,00882237,NJ,08865,,,40.700734,-75.197673,FB0265
Food Bank of Monmouth and Ocean Counties,Food Banks,624210,Food Bank,,,3300 Route 66,Neptune,Monmouth County,00882910,NJ,07753,,,40.229424,-74.063504,FB0266
Mercer Street Friends Food Bank,Food Banks,624210,Food Bank,,,824 Silvia Street,Ewing,Mercer County,00882229,NJ,08628,,,40.259572,-74.808175,FB0267
The Community Pantry,Food Banks,624210,Food Bank,,,1130 E. Hasler Valley Rd.,Gallup,McKinley County,00929107,NM,87301,,,35.523414,-108.751649,FB0268
The Food Depot,Food Banks,624210,Food Bank,,,1222 Siler Rd.,Santa Fe,Santa Fe County,00933322,NM,87507,,,35.659449,-105.993815,FB0269
Foodbank of Santa Barbara County,Food Banks,624210,Food Bank,,,4554 Hollister Avenue,Santa Barbara,Santa Barbara County,00277306,CA,93110,805-967-5741,http://www.foodbanksbc.org,34.438526,-119.779205,FB027
Food Bank of Eastern New Mexico,Food Banks,624210,Food Bank,,,2217 East Brady,Clovis,Curry County,00933053,NM,88101,,,34.390187,-103.179481,FB0270
ECHO Food Bank,Food Banks,624210,Food Bank,,,401 S. Commercial,Farmington,San Juan County,00936844,NM,87401,,,36.72585,-108.204126,FB0271
Broome County Council of Churches,Food Banks,624210,Food Bank,,,3 Otseningo Street,Binghamton,Broome County,00974102,NY,13903,,,42.099625,-75.89718,FB0272
"Country Neighbor Program, Inc.",Food Banks,624210,Food Bank,,,P. O. Box 212,Orwell,Ashtabula County,01074017,OH,44076,,,41.528272,-80.829757,FB0273
Lutheran Metropolitan Ministry Central Kitchen,Food Banks,624210,Food Bank,,,4515 Superior Avenue,Cleveland,Cuyahoga County,01074030,OH,44103,,,41.515337,-81.658502,FB0274
Food Pantry Network of Licking County,Food Banks,624210,Food Bank,,,823 Steel Avenue,Newark,Licking County,01074057,OH,43055,,,40.071774,-82.413468,FB0275
CAPECO Food Share,Food Banks,624210,Food Bank,,,"721 SE Third Street, STE D",Pendleton,Umatilla County,01156673,OR,97801,,,45.668129,-118.781357,FB0276
FOOD For Lane County,Food Banks,624210,Food Bank,,,770 Bailey Hill Rd,Eugene,Lane County,01135855,OR,97402,,,44.05121,-123.147978,FB0277
Marion Polk Food Share,Food Banks,624210,Food Bank,,,1660 Salem Industrial Dr NE,Salem,Marion County,01135859,OR,97301,,,44.972442,-123.010541,FB0278
"ACCESS, Inc.",Food Banks,624210,Food Bank,,,PO Box 4666,Medford,Jackson County,01135853,OR,97501,,,42.320041,-122.883718,FB0279
Redwood Empire Food Bank,Food Banks,624210,Food Bank,,,3990 Brickway Blvd,Santa Rosa,Sonoma County,01657246,CA,95403,707-523-7900,http://www.refb.org,38.513331,-122.793315,FB028
Columbia Pacific Food Bank,Food Banks,624210,Food Bank,,,474 Milton Way,St. Helens,Columbia County,01135847,OR,97051,,,45.855757,-122.823598,FB0280
"Clatsop Community Action, Inc.",Food Banks,624210,Food Bank,,,364 9th St.,Astoria,Clatsop County,01135846,OR,97103,,,46.188651,-123.833696,FB0281
UCAN Food Shares,Food Banks,624210,Food Bank,,,280 Kenneth Ford Dr.,Roseburg,Douglas County,01135849,OR,97470,,,43.261372,-123.351859,FB0282
Clark County Food Bank,Food Banks,624210,Food Bank,,,6502 NE 47th Avenue,Vancouver,Clark County,01531820,WA,98661,,,45.66961,-122.622568,FB0283
Food Share of Lincoln County,Food Banks,624210,Food Bank,,,535 NE First St.,Newport,Lincoln County,01135856,OR,97365,,,44.637016,-124.04599,FB0284
Yamhill County Community Action,Food Banks,624210,Food Bank,,,PO Box 621,McMinnville,Yamhill County,01135866,OR,97128,,,45.211268,-123.207708,FB0285
Klamath/Lake Counties Food Bank,Food Banks,624210,Food Bank,,,3231 Maywood Dr.,Klamath Falls,Klamath County,01155134,OR,97603,,,42.19791,-121.759124,FB0286
Josphine County Food Bank,Food Banks,624210,Food Bank,,,317 NW B Street,Grants Pass,Josephine County,01155133,OR,97526,,,42.441832,-123.321541,FB0287
Linn Benton Food Share,Food Banks,624210,Food Bank,,,"545 SW 2nd St., STE A",Corvallis,Benton County,01155126,OR,97333,,,44.559373,-123.262229,FB0288
South Coast Food Share,Food Banks,624210,Food Bank,,,2110 Newmark Ave,Coos Bay,Coos County,01135848,OR,97420,,,43.391634,-124.251291,FB0289
Second Harvest Food Bank,Food Banks,624210,Food Bank,,,704 E. Industrial Park Drive,Manteca,San Joaquin County,00277303,CA,95337,209-239-2091,http://www.localfoodbank.org,37.784924,-121.207261,FB029
Community Connection,Food Banks,624210,Food Bank,,,104 Elm Stret,La Grande,Union County,01164165,OR,97850,,,45.327494,-118.094139,FB0290
Mid-Columbia Community Action,Food Banks,624210,Food Bank,,,PO Box 1969,The Dalles,Wasco County,01155136,OR,97058,,,45.600959,-121.192959,FB0291
Neighbor Impact,Food Banks,624210,Food Bank,,,2303 SW 1st St.,Redmond,Deschutes County,01155130,OR,97756,,,44.254319,-121.168849,FB0292
Greater Washington County Food Bank,Food Banks,624210,Food Bank,,,1020 Route 519,Eighty-four,Washington County,01209190,PA,15330,,,40.191829,-80.134151,FB0293
Fayette County Community Action Food Bank,Food Banks,624210,Food Bank,,,119 North Beeson Avenue,Uniontown,Fayette County,01209179,PA,15401,,,39.904906,-79.725727,FB0294
Indiana County Community Action Program,Food Banks,624210,Food Bank,,,827 Water Street,Indiana,Indiana County,01213673,PA,15701,,,40.624385,-79.155048,FB0295
Salvation Army_Beaver County,Food Banks,624210,Food Bank,,,414 16th Street,Beaver Falls,Beaver County,01214112,PA,15010,,,40.756944,-80.315819,FB0296
Armstrong County Community Action Agency,Food Banks,624210,Food Bank,,,705 Butler Road,Kittanning,Armstrong County,01213658,PA,16201,,,40.825883,-79.548828,FB0297
"St.Vincent DePaul/Food For Families, Inc.",Food Banks,624210,Food Bank,,,945 Franklin Street,Johnstown,Cambria County,01213662,PA,15905,,,40.309068,-78.916775,FB0298
Corner Cupboard Food Bank,Food Banks,624210,Food Bank,,,811 Rolling Meadows Road,Waynesburg,Greene County,01214033,PA,15370,,,39.889567,-80.132639,FB0299
Bay Area Food Bank,Food Banks,624210,Food Bank,221.9115,10418.2615,5248 Mobile South Street,Theodore,Mobile County,00161575,AL,36619,251-653-1617,http://www.bayareafoodbank.org,30.580548,-88.162832,FB03
Food Bank for Monterey County,Food Banks,624210,Food Bank,,,"815 W. Market Street, Suite 5",Salinas,Monterey County,00277291,CA,93901,831-758-1523,http://www.food4hungry.org,36.683664,-121.671821,FB030
Food for Families,Food Banks,624210,Food Bank,,,2201 Union Street,Altoona,Blair County,01213659,PA,16601,,,40.506072,-78.407025,FB0300
First UMC-Crossroads Community Services,Food Banks,624210,Food Bank,,,"1802 Young Street, 2nd Floor",Dallas,Dallas County,01383842,TX,75201,,,32.778273,-96.794791,FB0301
Gleanings From the Harvest for Galveston / Galveston County Food Bank,Food Banks,624210,Food Bank,,,624 4th Avenue N,Texas City,Galveston County,01383869,TX,77590,,,29.388258,-94.903671,FB0302
Montgomery County Food Bank,Food Banks,624210,Food Bank,,,"111 S. 2""d St.",Conroe,Montgomery County,01383955,TX,77301,,,30.317902,-95.466138,FB0303
Brazos Food Bank,Food Banks,624210,Food Bank,,,The Junior League Center,Bryan,Brazos County,01383806,TX,77803,,,30.679693,-96.377038,FB0304
Concho Valley Regional Food Bank,Food Banks,624210,Food Bank,,,PO Box 1207,San Angelo,Tom Green County,01384011,TX,76903,,,31.461611,-100.444481,FB0305
EL PASOANS FIGHTING HUNGER,Food Banks,624210,Food Bank,,,9541 PLAZA CIRCLE,EL PASO,El Paso County,01383855,TX,79927,,,31.669133,-106.322417,FB0306
Northern Neck Regional Food Bank,Food Banks,624210,Food Bank,,,PO Box 93,White Stone,Lancaster County,01480139,VA,22578,,,37.648182,-76.36247,FB0307
Thurston County Food Bank,Food Banks,624210,Food Bank,,,220 N. Thurston Avenue,Olympia,Thurston County,01529226,WA,98501,,,47.047579,-122.90049,FB0308
Bremerton Foodline,Food Banks,624210,Food Bank,,,1600 12th St.,Bremerton,Kitsap County,01529223,WA,98337,,,47.571927,-122.64022,FB0309
Community Food Bank,Food Banks,624210,Food Bank,,,3403 E. Central Ave,Fresno,Fresno County,00277274,CA,93725,559-237-3663,http://www.communityfoodbank.net,36.677983,-119.7288,FB031
Skagit County Community Action Council,Food Banks,624210,Food Bank,,,330 Pacific Place,Mt. Vernon,Skagit County,01531402,WA,98273,,,48.441232,-122.33604,FB0310
Lewis Co Food Bank Coalition,Food Banks,624210,Food Bank,,,PO Box 307,Chehalis,Lewis County,01531927,WA,98532,,,46.632567,-122.969667,FB0311
Bellingham Food Bank,Food Banks,624210,Food Bank,,,1824 Ellist St,Bellingham,Whatcom County,01529224,WA,98225,,,48.752348,-122.471217,FB0312
Volunteers of America Everett,Food Banks,624210,Food Bank,,,PO Box 839,Everett,Snohomish County,01529222,WA,98206,,,48.013206,-122.320167,FB0313
Lower Columbia Community Action Council,Food Banks,624210,Food Bank,,,PO Box 2129,Longview,Cowlitz County,01529156,WA,98632,,,46.151406,-122.966499,FB0314
"River Cities Harvest, Inc",Food Banks,624210,Food Bank,,,2516 Carter Avenue,Ashland,Boyd County,00516856,KY,41101,,,38.471815,-82.628575,FB0315
Twelve Baskets Food Bank,Food Banks,624210,Food Bank,,,1520 29th Avenue,Gulfport,Baldwin County,00161527,AL,36542,,,30.2825763,-87.7252451,FB0316
Imperial Valley Food Bank,Food Banks,624210,Food Bank,,,"2404 E. 24th Street, Suite A",El Centro,Imperial County,00277277,CA,92243,,,32.7778394,-115.5832185,FB0317
Care and Share Food Bank for Southern Colorado,Food Banks,624210,Food Bank,3.4125,9520.4205,2605 Preamble Point,Colorado Springs,El Paso County,00198135,CO,80915,719-528-1247,http://www.careandshare.org,38.853413,-104.71702,FB032
Food Bank of the Rockies,Food Banks,624210,Food Bank,919.412,27524.2925,10700 E. 45th Ave,Denver,Denver County,00198131,CO,80239,303-371-9250,http://www.foodbankrockies.org,39.778644,-104.863261,FB033
Community Food Share,Food Banks,624210,Food Bank,273.1335,4512.278,650 S. Taylor Ave.,Louisville,Boulder County,00198122,CO,80027,303-652-3663,http://www.communityfoodshare.org,39.960144,-105.119979,FB034
Food Bank for Larimer County,Food Banks,624210,Food Bank,94.45,4880.5165,1301 Blue Spruce,Fort Collins,Larimer County,00198150,CO,80524,970-493-4477,http://www.foodbanklarimer.org,40.604581,-105.071807,FB035
Weld Food Bank,Food Banks,624210,Food Bank,,,1108 H Street,Greeley,Weld County,00198177,CO,80631,970-356-2199,http://www.weldfoodbank.org,40.444261,-104.696669,FB036
Connecticut Food Bank,Food Banks,624210,Food Bank,454.246,12670.318,150 Bradley St,East Haven,New Haven County,00212798,CT,06512,203-469-5000,http://www.ctfoodbank.org,41.286093,-72.873993,FB037
Foodshare,Food Banks,624210,Food Bank,378.0275,7567.101,450 Woodland Avenue,Bloomfield,Hartford County,00212338,CT,06002,860-286-9999,http://www.foodshare.org,41.866323,-72.726364,FB038
Capital Area Food Bank,Food Banks,624210,Food Bank,20.5805,20938.0765,4900 Puerto Rico Ave NE,Washington,District of Columbia,01702382,DC,20017,202-526-5344,http://www.capitalareafoodbank.org,38.94634,-76.999134,FB039
Montgomery Area Food Bank,Food Banks,624210,Food Bank,,,521 Trade Center Street,Montgomery,Montgomery County,00161577,AL,36108,334-263-3784,http://www.montgomeryareafoodbank.org,32.371421,-86.345749,FB04
Food Bank of Delaware,Food Banks,624210,Food Bank,176.4415,3351.969,14 Garfield Way,Newark,New Castle County,00217270,DE,19713,302-292-1305,http://www.fbd.org,39.654202,-75.724688,FB040
Feeding South Florida,Food Banks,624210,Food Bank,107.1225,18486.9725,2501 SW 32 Terrace,Pembroke Park,Broward County,00295753,FL,33009,954-518-1818,http://www.feedingsouthflorida.org,25.988363,-80.174001,FB041
Second Harvest Food Bank of Central Florida,Food Banks,624210,Food Bank,544.2345,28692.5515,411 Mercy Drive,Orlando,Orange County,00295750,FL,32805,407-295-1066,http://www.feedhopenow.org,28.547391,-81.430269,FB042
Feeding America Tampa Bay,Food Banks,624210,Food Bank,651.981,28075.474,Tampa Distribution Center II,Tampa,Hillsborough County,00295757,FL,33605,813-254-1190,http://feedingamericatampabay.org,27.966011,-82.433177,FB043
America's Second Harvest of the Big Bend,Food Banks,624210,Food Bank,107.299,3369.2705,110 Four Points Way,Tallahassee,Leon County,00306916,FL,32305,850-562-3033,http://www.fightinghunger.org,30.400538,-84.283871,FB044
Harry Chapin Food Bank,Food Banks,624210,Food Bank,0,9513.3135,3760 Fowler St.,Fort Myers,Lee County,00295758,FL,33901,239-334-7007,http://www.harrychapinfoodbank.org,26.60722,-81.861822,FB045
All Faiths Food Bank,Food Banks,624210,Food Bank,309.959,3729.2105,8171 Blaikie Ct.,Sarasota,Sarasota County,00295741,FL,34240,941-379-6333,http://www.allfaithsfoodbank.org,27.346918,-82.402132,FB046
Feeding Northeast Florida,Food Banks,624210,Food Bank,,,1116 Edgewood Avenue North,Jacksonville,Duval County,00293656,FL,32254,904-513-1333,http://www.FeedingNEFL.org,30.34081,-81.731203,FB047
Treasure Coast Food Bank,Food Banks,624210,Food Bank,,,401 Angle Rd.,Fort Pierce,St. Lucie County,00308372,FL,34947,772-489-3034,http://www.stophunger.org,27.450936,-80.359958,FB048
Atlanta Community Food Bank,Food Banks,624210,Food Bank,966.165,27771.5875,732 Joseph E. Lowery Blvd. N.W.,Atlanta,Fulton County,01694833,GA,30318,404-892-9822,http://www.acfb.org,33.775241,-84.41738,FB049
Food Bank of North Alabama,Food Banks,624210,Food Bank,24.797,3478.818,2000 B. Vernon Ave.,Huntsville,Madison County,00161570,AL,35805,256-539-2256,http://fbofna.org/,34.723964,-86.596843,FB05
Golden Harvest Food Bank,Food Banks,624210,Food Bank,50.8475,8411.5195,3310 Commerce Drive,Augusta,Richmond County,00358024,GA,30909,706-736-1199,http://www.goldenharvest.org,33.450333,-82.0605,FB050
America's Second Harvest of Coastal Georgia,Food Banks,624210,Food Bank,91.2845,5506.5295,2501 East President Street,Savannah,Chatham County,01694477,GA,31404,912-236-6750,http://www.helpendhunger.org,32.067929,-81.049946,FB051
Feeding The Valley Food Bank,Food Banks,624210,Food Bank,2.614,3464.5515,P.O. Box 8904,Columbus,Muscogee County,00357428,GA,31907,706-561-4755,http://www.feedingthevalley.org,32.511021,-84.929087,FB052
Middle Georgia Community Food Bank,Food Banks,624210,Food Bank,120.3695,4240.796,4490 Ocmulgee East Boulevard,Macon,Bibb County,01672039,GA,31217,478-742-3958,http://www.mgcfb.org,32.805344,-83.568659,FB053
"Second Harvest of South Georgia, Inc.",Food Banks,624210,Food Bank,,,1411 Harbin Circle,Valdosta,Lowndes County,00326720,GA,31601,229-244-2678,http://www.feedingsga.org,30.805683,-83.28664,FB054
Food Bank of Northeast Georgia,Food Banks,624210,Food Bank,,,861 Newton Bridge Road,Athens,Clarke County,01672699,GA,30607,706-354-8191,http://www.foodbanknega.org,33.999154,-83.400794,FB055
Hawaii Foodbank,Food Banks,624210,Food Bank,1031.2905,9688.195,2611 Kilihau St,Honolulu,Honolulu County,00365281,HI,96819,808-836-3600,http://www.hawaiifoodbank.org,21.335885,-157.894502,FB056
Food Bank of Iowa,Food Banks,624210,Food Bank,218.9275,5804.6765,2220 E. 17th Street,Des Moines,Polk County,00465265,IA,50316,515-564-0330,http://www.foodbankiowa.org,41.6143,-93.591168,FB057
River Bend Foodbank,Food Banks,624210,Food Bank,120.1415,4821.6275,4010 Kimmel Drive,Davenport,Scott County,00465270,IA,52802,563-345-6490,http://www.riverbendfoodbank.org/,41.498949,-90.636712,FB058
HACAP Food Reservoir,Food Banks,624210,Food Bank,59.0085,1626.5525,1515 Hawkeye Drive,Hiawatha,Linn County,00465245,IA,52233,319-393-7811,http://www.hacap.org,42.054951,-91.677407,FB059
ARKANSAS FOODBANK,Food Banks,624210,Food Bank,146.363,11189.545,4301 W 65th St,LITTLE ROCK,Pulaski County,00069177,AR,72209,501-565-8121,http://www.arkansasfoodbank.org/,34.689873,-92.322513,FB06
Northeast Iowa Food Bank,Food Banks,624210,Food Bank,101.428,3117.3495,1605 Lafayette Steet,Waterloo,Black Hawk County,00465196,IA,50703,319-235-0507,http://www.northeastiowafoodbank.org,42.492896,-92.322225,FB060
The Idaho Foodbank,Food Banks,624210,Food Bank,412.394,8041.984,3562 TK Avenue,Boise,Ada County,00395066,ID,83705,208-336-9643,http://www.idahofoodbank.org,43.56984,-116.191963,FB061
Greater Chicago Food Depository,Food Banks,624210,Food Bank,683.603,33511.1875,4100 West Ann Lurie Place,Chicago,Cook County,01784766,IL,60632,773-247-3663,http://www.chicagosfoodbank.org,41.816348,-87.726309,FB062
Central Illinois Foodbank,Food Banks,624210,Food Bank,431.206,5192.199,1937 E. Cook,Springfield,Sangamon County,01785010,IL,62703,217-522-4022,http://www.centralilfoodbank.org,39.794618,-89.627862,FB063
Northern Illinois Food Bank,Food Banks,624210,Food Bank,1616.382,31170.9285,273 Dearborn Ct.,Geneva,Kane County,00424246,IL,60134,630-443-6910,http://www.SolveHungerToday.org,41.887871,-88.268837,FB064
Peoria Area Food Bank,Food Banks,624210,Food Bank,75.212,2086.9585,721 W. McBean,Peoria,Peoria County,01784920,IL,61605,309-671-3906,http://www.pcceo.org/index.cfm?fuseaction=dep_intro&dept_id=19,40.685643,-89.60411,FB065
Eastern Illinois Foodbank,Food Banks,624210,Food Bank,94.5875,3969.1845,2405 North Shore Drive,Urbana,Champaign County,00424211,IL,61802,217-328-3663,http://www.eifoodbank.org,40.13844,-88.222198,FB066
Gleaners Food Bank of Indiana,Food Banks,624210,Food Bank,641.267,16071.324,3737 Waldemere Ave.,Indianapolis,Marion County,00450371,IN,46241,317-925-0191,http://www.gleaners.org,39.7091,-86.261846,FB067
Second Harvest Food Bank,Food Banks,624210,Food Bank,174.0585,5219.2355,6621 N. Old SR 3,Muncie,Delaware County,00450347,IN,47303,765-287-8698,http://www.curehunger.org,40.217562,-85.375697,FB068
"Tri-State Fod bank, Inc",Food Banks,624210,Food Bank,55.4435,4121.292,801 E. Michigan Street,Evansville,Vanderburgh County,00450396,IN,47711,812-425-0775,http://www.tristatefoodbank.org,37.980929,-87.55272,FB069
River Valley Regional Food Bank,Food Banks,624210,Food Bank,71.9635,4130.6185,1420 N. 32nd Street,Fort Smith,Sebastian County,00069181,AR,72904,479-785-0582,http://www.rvrfoodbank.org/,35.390169,-94.397418,FB07
Community Harvest Food Bank of NE IN Inc.,Food Banks,624210,Food Bank,,,999 East Tillman Road,Fort Wayne,Allen County,00450402,IN,46816,260-447-3696,http://www.chfb.org,41.017218,-85.121861,FB070
Food bank of northwest indiana,Food Banks,624210,Food Bank,13.799,2630.3785,2248-50 W. 35th Avenue,Gary,Lake County,00450495,IN,46408,219-980-1777,http://www.foodbanknwi.org/,41.555197,-87.362967,FB071
