Community,State,Number of Households with Access,Processing Facility or Hauler,Material Preference,Source,Unique ID,,
Morton Grove,Illinois,8394,Groot; Collective Resource,"Fruits, vegetables, bread, grains, pasta, cereal, dairy (no liquids), coffee grounds & tea leaves",BioCycle 2021; IL Food Scrap & Composting Coalition,CSSO692,,
Mound,Minnesota,4089,,,Minnesota Pollution Control Agency,CSSO622,,
Mount Prospect,Illinois,20795,Republic Services,"grass clippings, brush, flowers, leaves, fruits and vegetables, pasta, meat (no bone) breads, crackers, cereals, dairy - cheese, yogurt (no liquids), coffee grounds",BioCycle 2021; IL Food Scrap & Composting Coalition,CSSO693,,
Mount Vernon,Washington,,Skagit Soils,,http://wmnorthwest.com/mtvernon/yardwaste.html,CSSO487,,
Mountain View,California,14500,South Valley Organics,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags",BioCycle 2017,CSSO525,,
Mukilteo,Washington,7900,,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags",BioCycle 2017,CSSO652,,
Mundelein,Illinois,10819,Groot,"Fruits, vegetables, breads, grains, pasta, cereal, dairy (no liquids â€“ cottage cheese, sour cream, yogurt, butter), egg shells, coffee grounds, tea leaves, breads, grains, pasta, cereal, herbs, unpainted/undecorated holiday pumpkins",BioCycle 2021; https://www.swalco.org/319/Residential-Food-Scrap-Composting-Progra; IL Food Scrap & Composting Coalition,CSSO561,,
Napa County,California,23500,Napa Recycling & Composting Facility,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags",BioCycle 2021,CSSO17,,
Naperville,Illinois,51940,Groot,"Fruits, vegetables, bread, grains, pasta, cereal, dairy (no liquids), coffee grounds & tea leaves",BioCycle 2021; IL Food Scrap & Composting Coalition,CSSO728,,
Natick,Massachusetts,5429,Another municipality,"fruit & vegetable scraps; meat, fish & dairy; paper bags",BioCycle 2021; Massachusetts DEP,CSSO589,,
New Hope,Minnesota,8294,"Randy's Transfer Station, Specialized Environmental Technologies",,BioCycle 2021; Minnesota Pollution Control Agency,CSSO597,,
New York,New York,790000,"Staten Island Compost Site, Newtown Creek WWTP, multiple additional regional processors","fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste",BioCycle 2017,CSSO635,,
Newark,California,13436,Recology Grover,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags",BioCycle 2017,CSSO480,,
Newburyport,Massachusetts,400,Black Earth Compost,"fruit & vegetable scraps; meat, fish & dairy; paper bags",BioCycle 2017; Massachusetts DEP,CSSO590,,
Nooksack,Washington,,Green Earth Technology,,https://www.nvd-inc.com/yard-food-waste,CSSO653,,
North Barrington,Illinois,1075,Prairieland Disposal & Recycling Services,"Pet waste, fruits and vegetables, leftovers, kitchen scraps, coffee grounds and filters, breads, grains, pasta, cereal, meats, poultry, seafood, bones, dairy, eggs, plants and greens",BioCycle 2021; https://www.swalco.org/319/Residential-Food-Scrap-Composting-Progra; IL Food Scrap & Composting Coalition,CSSO563,,
North Liberty,Iowa,3050,Iowa City Landfill & Recycling Center,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags",BioCycle 2017,CSSO579,,
Northbrook,Illinois,13056,Advanced Disposal,"produce, non-liquid dairy & eggs, egg shells, bread, grains, pasta, creral, coffee grounds & filters, teabags, food-soiled paper bags, newspaper, paper towels, pizza boxes, uncoated paper plates",BioCycle 2021; IL Food Scrap & Composting Coalition,CSSO694,,
Northfield,Minnesota,6522,,,Minnesota Pollution Control Agency,CSSO631,,
Northwest VT Solid Waste Mgmt District,Vermont,987,Hudak Farm,,BioCycle 2021; http://nwswd.org/compost/residential-food-scrap-pick-up/,CSSO661,,
Norwood Young America,Minnesota,1513,,,Minnesota Pollution Control Agency,CSSO609,,
Oak Park,Illinois,21603,"Waste Management, Inc.","Grass clippings, garden vegetation, leaves, brush; food scraps , including meat, bread, vegetables, table scraps, dairy, coffee grounds and pasta; unsoiled or food-soiled paper products, such as paper towels, paper bags, pizza boxes, napkins, paper cups, ",BioCycle 2021; IL Food Scrap & Composting Coalition,CSSO564,,
Oakland,California,159601,"Redwood Regional Composting Facility, Recology Grover","fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste",BioCycle 2017,CSSO491,,
Oceanside,California,1600,,fruit & vegetable scraps; yard trimmings/green waste,BioCycle 2017; https://www.ci.oceanside.ca.us/civicax/filebank/blobdload.aspx?blobid=52917,CSSO526,,
Olympia,Washington,23000,Silver Springs Organics,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags",BioCycle 2017,CSSO485,,
Orange,California,,CR&R,"Wood waste, Yard waste",https://www2.calrecycle.ca.gov/LGCentral/DiversionProgram/ProgramCountDetail,CSSO527,,
Orono,Minnesota,3089,Specialized Environmental Technologies,,BioCycle 2021; Minnesota Pollution Control Agency,CSSO515,,
Osakis,Minnesota,772,,,Minnesota Pollution Control Agency,CSSO632,,
Osseo,Minnesota,1250,"Randy's Transfer Station, Specialized Environmental Technologies",,BioCycle 2017; Minnesota Pollution Control Agency,CSSO598,,
Oswego,Illinois,11215,Groot,"fruits, vegetables, grains, non-liquid dairy, coffee and tea grounds",BioCycle 2021; IL Food Scrap & Composting Coalition,CSSO565,,
Palo Alto,California,28000,Zero Waste Energy Development Company,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags",BioCycle 2017,CSSO528,,
Park Ridge,Illinois,14197,Collective Resource,"Fruits, vegetables, leftovers/kitchen scraps, coffee grounds, tea bags, filters, breads, grains, pasta, cereal, meat, poultry, seafood, shells, bones, dairy, eggs (no liquids), paper products, paper towels, plates, napkins, egg cartons and pizza boxes",BioCycle 2021; IL Food Scrap & Composting Coalition,CSSO695,,
Piedmont,California,3015,West County Compost Facility,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags",BioCycle 2021,CSSO475,,
Pleasanton,California,26020,Newby Island,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste",BioCycle 2017,CSSO481,,
Plymouth,Minnesota,31749,,,BioCycle 2017; Minnesota Pollution Control Agency,CSSO599,,
Port Barrington,Illinois,571,Prairieland Disposal & Recycling Services,"Pet waste, fruits and vegetables, leftovers, kitchen scraps, coffee grounds and filters, breads, grains, pasta, cereal, meats, poultry, seafood, bones, dairy, eggs, plants and greens",BioCycle 2021; https://www.swalco.org/319/Residential-Food-Scrap-Composting-Progra; IL Food Scrap & Composting Coalition,CSSO566,,
Portland,Oregon,190213,"Recology North Plains, Recology Aumsville, Dirt Hugger, Pacific Region Compost (PRC)","fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags",BioCycle 2021,CSSO478,,
Prince George's County,Maryland,200,Prince George's County Organics Composting Facility,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags",BioCycle 2017,CSSO9,,
Princeton,New Jersey,7200,,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags",BioCycle 2017,CSSO507,,
Ramsey,Minnesota,9211,,,Minnesota Pollution Control Agency,CSSO605,,
Redmond,Washington,11313,Cedar Grove Composting,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags",BioCycle 2017,CSSO496,,
Richfield,Minnesota,15192,Shakopee Mdewakanton Sioux Community Composting,,Minnesota Pollution Control Agency; https://www.hennepin.us/residents/recycling-hazardous-waste/organics-recycling,CSSO623,,
River Forest,Illinois,3971,Roy Strom Refuse Removal Service,"Grass clippings, garden vegetation, leaves, brush; food scraps , including meat, bread, vegetables, table scraps, dairy, coffee grounds and pasta; unsoiled or food-soiled paper products, such as paper towels, paper bags, pizza boxes, napkins, paper cups, ",BioCycle 2021; IL Food Scrap & Composting Coalition,CSSO567,,
Riverside,Illinois,3163,Flood Brothers Disposal/Recycling Services,"fruit and vegetable scraps, meat, poultry and fish (including bones, cheese and dairy, all solid food leftovers, bread, pasta, grains, eggshells, nut shells, coffee grounds & filters, teabags, food soiled paper, paper towels and napkins, paper food wrap, pizza boxes, food-soiled cardboard, paper grocery bags containing food scraps, uncoated paper plates and cups, yard waste, leaves, grass, plant trimmings, branches, house plants, flowers",BioCycle 2021; IL Food Scrap & Composting Coalition,CSSO568,,
Riverwoods,Illinois,1199,Lakeshore Recycling Systems,"Pet waste, fruits and vegetables, leftovers, kitchen scraps, coffee grounds and filters, breads, grains, pasta, cereal, meats, poultry, seafood, bones, dairy, eggs, plants and greens",BioCycle 2021; https://www.swalco.org/319/Residential-Food-Scrap-Composting-Progra; IL Food Scrap & Composting Coalition,CSSO569,,
Robbinsdale,Minnesota,6280,,"fruit & vegetable scraps; meat, fish & dairy; all other food scraps; food-soiled paper; certified compostable products (BPI)",Minnesota Pollution Control Agency; https://www.hennepin.us/residents/recycling-hazardous-waste/organics-recycling,CSSO624,,
Rogers,Minnesota,4241,,,Minnesota Pollution Control Agency,CSSO625,,
Round Lake,Illinois,,Groot,food scraps and yard waste,IL Food Scrap & Composting Coalition,CSSO696,,
Round Lake Beach,Illinois,8334,"Waste Management, Inc.","Fruits and Vegetables (includes unpainted holiday pumpkins); leftovers/kitchen scraps (includes coffee grounds, tea bags & filters); breads, grains, pasta and cereal; meat, poultry, seafood (including shells and bones); dairy and eggs (including shells; n",BioCycle 2021; https://www.swalco.org/319/Residential-Food-Scrap-Composting-Progra; IL Food Scrap & Composting Coalition,CSSO570,,
Rye,New York,156,Sustainable Materials Management,,BioCycle 2021,CSSO709,,
Salem,Massachusetts,7263,Black Earth Compost,"fruit & vegetable scraps; meat, fish & dairy; paper bags",BioCycle 2021; Massachusetts DEP,CSSO591,,
Salt Lake City,Utah,,,"fruit & vegetables, tea bags, coffee grounds, eggshells, yard waste",https://www.slc.gov/sustainability/waste-management/curbside/compost-can/,CSSO715,,
San Antonio,Texas,367000,Nelson Garden (city composting site),"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags",BioCycle 2021,CSSO506,,
San Benito County Unincorporated Area,California,4437,South Valley Organics,"Food waste, soilded paper, yard Waste, tree Trimmings, Christmas trees. No palm fronds",https://www2.calrecycle.ca.gov/LGCentral/DiversionProgram/ProgramCountDetail,CSSO2,,
San Clemente,California,20013,CR&R Anaerobic Digester,,BioCycle 2021,CSSO665,,
San Francisco,California,350000,Blossom Valley Organics,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste",BioCycle 2021,CSSO666,,
San Juan Bautista,California,534,South Valley Organics,"Food waste, soiled paper, yard waste, tree trimmings, Christmas trees. No palm fronds",https://www2.calrecycle.ca.gov/LGCentral/DiversionProgram/ProgramCountDetail,CSSO529,,
San Leandro,California,21000,Newby Island,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags",BioCycle 2017,CSSO514,,
San Luis Obispo Integrated,California,89258,HZI North County Compost,"fruit & vegetable scraps; meat, fish & dairy",BioCycle 2021,CSSO667,,
San Mateo County,California,166606,"Recology Blossom Valley, Newby Island Resource Recovery Park (RRP), Z Best, ","fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags; etc. ",BioCycle 2017; County of San Mateo Office of Sustainability,CSSO5,,
San Ramon,California,23000,"Forward Composting, Napa Recycling","fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags",BioCycle 2021; https://www.centralsan.org/,CSSO510,,
Santa Barbara,California,146466,Santa Barbara County Anaerobic Digestion Facility,,BioCycle 2021,CSSO668,,
Santa Clara County (unincorporated),California,16500,Zero Waste Energy Development Company,"fruit & vegetable scraps; meat, fish & dairy; paper bags",BioCycle 2017,CSSO3,,
Santa Monica,California,11000,Agromin,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags",BioCycle 2017,CSSO530,,
Scarborough,Maine,258,Ecomaine,"fruit & vegetable scraps; meat, fish & dairy",BioCycle 2017,CSSO580,,
Seattle,Washington,476633,"Cedar Grove Composting, Lenz Enterprises","fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags",BioCycle 2021,CSSO482,,
Shorewood,Minnesota,2783,"Randy's Transfer Station, Specialized Environmental Technologies",,BioCycle 2021; Minnesota Pollution Control Agency,CSSO511,,
Shorewood,Wisconsin,100,Blue Ribbon Organics,"fruit & vegetable scraps; meat, fish & dairy; paper bags",BioCycle 2017,CSSO656,,
Silverton,Oregon,1558,,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste",BioCycle 2017,CSSO642,,
Skokie,Illinois,22366,Collective Resource,"Fruits, vegetables, leftovers/kitchen scraps, coffee grounds, tea bags, filters, breads, grains, pasta, cereal, meat, poultry, seafood, shells, bones, dairy, eggs (no liquids), paper products, paper towels, plates, napkins, egg cartons and pizza boxes",BioCycle 2021; IL Food Scrap & Composting Coalition,CSSO571,,
Sonoma County/Zero Waste Sonoma,California,208305,"Waste Management, Napa Recycling, Cold Creek Compost",,BioCycle 2021,CSSO4,,
South Portland,Maine ,668,"Ecomaine, Exeter Agri-Energy","fruit & vegetable scraps; meat, fish & dairy",BioCycle 2017,CSSO581,,
South San Francisco,California,30000,Blue Line Biogenic CNG Facility,,BioCycle 2021,CSSO669,,
Spokane (city),Washington,134562,Barr-Tech LLC,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags",BioCycle 2017,CSSO719,,
St. Bonifacius,Minnesota,893,"Randy's Transfer Station, Specialized Environmental Technologies",No green waste,BioCycle 2021; Minnesota Pollution Control Agency,CSSO495,,
St. Louis Park,Minnesota,12674,Specialized Environmental Technologies,"fruit & vegetable scraps; meat, fish & dairy; all other food scraps; food-soiled paper; certified compostable products (BPI)",BioCycle 2021; Minnesota Pollution Control Agency,CSSO600,,
State College,Pennsylvania,4000,State College Borough Composting Facility,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags",BioCycle 2021,CSSO490,,
Stayton,Oregon,2599,,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste",BioCycle 2017,CSSO643,,
Stockton,California,90000,Modesto City & Forward Inc (Republic),"fruit & vegetable scraps; meat, fish & dairy",BioCycle 2017,CSSO469,,
Sumas,Washington,,Green Earth Technology,,https://www.nvd-inc.com/yard-food-waste,CSSO513,,
Sunnyvale,California,55094,,"fruit & vegetable scraps; meat, fish & dairy",BioCycle 2017,CSSO531,,
Swift County,Minnesota,4263,,,BioCycle 2021,CSSO11,,
Tacoma,Washington,56500,"Waste Connections Hidden Valley, Compost Factory","fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste",BioCycle 2017,CSSO654,,
Takoma Park,Maryland,3596,Prince George's County Organics Composting Facility,"fruit & vegetable scraps; meat, fish & dairy; paper bags",BioCycle 2021,CSSO582,,
Third Lake,Illinois,408,Waste Management,"Branches, brush, vines, fruits, vegetables, breads, grains, pasta, cereal, non-liquid dairy products, eggshells, coffee, tea leaves",BioCycle 2021; IL Food Scrap & Composting Coalition,CSSO576,,
Tower Lakes,Illinois,436,Prairieland Disposal & Recycling Services,"Pet waste, fruits and vegetables, leftovers, kitchen scraps, coffee grounds and filters, breads, grains, pasta, cereal, meats, poultry, seafood, bones, dairy, eggs, plants and greens",BioCycle 2021; https://www.swalco.org/319/Residential-Food-Scrap-Composting-Progra; IL Food Scrap & Composting Coalition,CSSO572,,
Tulare County,California,18295,,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags",BioCycle 2017,CSSO6,,
Turner,Oregon,671,,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste",BioCycle 2017,CSSO644,,
Union City,California,20000,Newby Island RRP,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste; paper bags",BioCycle 2017,CSSO494,,
University Park,Maryland,354,Prince George's County Organics Composting Facility,fruit & vegetable scraps,BioCycle 2021,CSSO583,,
Vancouver,Washington,47211,Dirt Hugger,,,CSSO720,,
Vernon Hills,Illinois,9735,Advanced Disposal,"fruits, vegetables, leftovers, kitchen scraps, coffee grounds and filters, breads, grains, pasta, cereal, meats, poultry, seafood, bones, dairy, eggs, plants and greens",BioCycle 2021; IL Food Scrap & Composting Coalition,CSSO577,,
Victoria,Minnesota,3220,,,Minnesota Pollution Control Agency,CSSO610,,
Visalia,California,41730,,fruit & vegetable scraps; yard trimmings/green waste,BioCycle 2017,CSSO532,,
Volo,Illinois,1780,Groot,"Fruits, vegetables, breads, grains, pasta, cereal, dairy (no liquids cottage cheese, sour cream, yogurt, butter), egg shells, coffee grounds, tea leaves, breads, grains, pasta, cereal, herbs, unpainted/undecorated holiday pumpkins",BioCycle 2021; https://www.swalco.org/319/Residential-Food-Scrap-Composting-Progra; IL Food Scrap & Composting Coalition,CSSO573,,
Waconia,Minnesota,4703,,,Minnesota Pollution Control Agency,CSSO611,,
Warrenville,Illinois,,Groot,"yard waste, food scraps",,CSSO697,,
Washington County,Oregon,33000,Recology North Plains,,BioCycle 2021,CSSO13,,
Watertown,Minnesota,1677,,,Minnesota Pollution Control Agency,CSSO612,,
Watervliet,New York,90,anaerobic digester,"fruit & vegetable scraps; meat, fish & dairy",BioCycle 2017,CSSO636,,
Wayzata,Minnesota,1372,"Randy's Transfer Station, Specialized Environmental Technologies",,BioCycle 2021; Minnesota Pollution Control Agency,CSSO505,,
Wenham,Massachusetts,1404,Brick Ends Farm,"fruit & vegetable scraps; meat, fish & dairy; paper bags",BioCycle 2017; Massachusetts DEP,CSSO592,,
West Contra Costa Integrated Waste Mgmt Authority,California,60411,West County Resource Recovery Facility,"fruit & vegetable scraps; meat, fish & dairy; bread; eggs, egg shells, oyster shells; yard trimmings/green waste, clean wood; food soiled papers",BioCycle 2021; https://recyclemore.com/what-to-do/green/,CSSO658,,
West Sacramento,California,14000,Yolo County Central Landfill Compost Facility and Napa Recycling,"Yard waste, food waste","https://www2.calrecycle.ca.gov/LGCentral/DiversionProgram/ProgramCountDetail, https://blob.cityofwestsacramento.org/city/depts/pw/public_works_operations/environmental_services_division/solid_waste/compost/default.asp",CSSO533,,
Westminster,California,16746,CR&R,"Food Waste, Yard Waste","https://www2.calrecycle.ca.gov/LGCentral/DiversionProgram/ProgramCountDetail, ",CSSO534,,
Westmont,Illinois,,Waste Management,"lawn waste, fruits & vegetables, leftovers/kitchen scraps (includes coffee grounds, tea bags, filters), bread, grains, pasta, creral, meat, poultry, seafood (includes shells, bones), dairy (no liquids), eggs, eggshells, food-soiled paper products (paper towels, napkins, egg cartons, pizza boxes), newspaper",IL Food Scrap & Composting Coalition,CSSO698,,
Wheaton,Illinois,19735,Lakeshore Recycling Systems,"Floral trimmings, tree trimmings, leaves, grass, brush, weeds, fruits, vegetables, meat, poultry, seafood, shellfish, bones, rice, beans, pasta, bread, baked goods, grains, cheese, eggshells, napkins, paper towels, paper plates, pizza boxes, food-contamin",BioCycle 2021; IL Food Scrap & Composting Coalition,CSSO574,,
Willits,California,,,"Food waste, Yard Waste, Food-soiled paper",https://www2.calrecycle.ca.gov/LGCentral/DiversionProgram/ProgramCountDetail; https://www.willitsnews.com/2015/10/30/food-waste-composting-now-available-in-willits/,CSSO535,,
Wilmette,Illinois,9717,Advanced Disposal,"fruits & vegetables, dairy (no liquids), eggs, eggshells, brad, grains, cereals, pasta, teabags, coffee grounds and filters, shredded paper, shredded paper egg cartons",BioCycle 2021; IL Food Scrap & Composting Coalition,CSSO699,,
Windham Solid Waste Mgmt District,Vermont,12000,Windham SWMD Composting Facility,"bread/rolls/crackers; rice/pasta/beans; egg shells; cheese/dairy products; cooked or raw meats; cooked or raw fish; shellfish; fruits, vegetables, and peelings; tea bags; coffee grounds and filters; cooking oils and fats",BioCycle 2021,CSSO659,,
Winnetka,Illinois,12316,Collective Resource,"varies based on vendor: food scraps, paper products, BPI certified compostable products",IL Food Scrap & Composting Coalition,CSSO700,,
Woodburn,Oregon,1061,,"fruit & vegetable scraps; meat, fish & dairy; yard trimmings/green waste",BioCycle 2017,CSSO645,,
Woodland,California,14000,Yolo County Central Landfill Compost Facility,"Yard wastem dood waste, food-soiled paper","https://www2.calrecycle.ca.gov/LGCentral/DiversionProgram/ProgramCountDetail, https://www.cityofwoodland.org/DocumentCenter/View/3668/Green-Waste-Schedule",CSSO536,,
Worth,Illinois,4026,Lakeshore Recycling Systems,"bread, cereal, coffee grounds, dairy, egg shells, eggs, fruits, grains, pasta, shells, vegetables",BioCycle 2021; IL Food Scrap & Composting Coalition,CSSO701,,
