Name,Address,City,County,State,Zip Code,Food Waste Accepted?,Feedstock,Source,Phone,Facility's Website,Unique Identifier,Latitude,Longitude
Village Of Greenhills Landfill,1254 W Sharon Rd,Forest Park,Hamilton County,OH,45240,,"Yard waste (leaves, brush, grass)",https://epa.ohio.gov/Portals/34/document/facility_lists/LICENSED_COMPOSTING_FACILITIES.pdf,(513) 825-2100,,CMP20222732,39.274785,-84.5282385
Full Cycle Organics LLC,1252 E 55th St,Cleveland,Cuyahoga County,OH,44103,Yes,"Yard waste, agricultural plant materials, animal waste, dead animals, raw rendering material and food scraps",https://epa.ohio.gov/Portals/34/document/facility_lists/LICENSED_COMPOSTING_FACILITIES.pdf,,,CMP20222731,41.524866,-81.6524145
EMPORIA TRUCK WASH,1257 Rd 137,,Lyon County,KS,66801,,Manure,KDHE,,,CMP20221305,38.356929,-96.142221
Dean's Eco Green Recycling,1256 E Dayton Yellow Springs Rd,Xenia,Greene County,OH,45385,,"Yard waste (leaves, brush, grass)",https://epa.ohio.gov/Portals/34/document/facility_lists/LICENSED_COMPOSTING_FACILITIES.pdf,(937) 608-8010,,CMP20222733,39.78717655,-83.97432153
Huntsville Compost / Duncan Farms,1259 Salty Bottom Rd,Gurley,Madison County,AL,35748,Yes,food waste,https://huntsvillecompost.com/,256-334-7914,,CMP20223,34.751232,-86.396166
Litchfield city of,126 N Marshall Ave,Litchfield,Meeker County,MN,55355,,Yard Waste,http://www.mncompostingcouncil.org/find-a-compost-site.html,(320) 693-7201,http://www.ci.litchfield.mn.us/2183/Compost-Site,CMP20222017,45.126828,-94.5262305
Mapledale Farm Inc,12613 Woodin Rd,Chardon,Geauga County,OH,44024,,"Manure, animals, yard waste",https://epa.ohio.gov/Portals/34/document/facility_lists/LICENSED_COMPOSTING_FACILITIES.pdf,(440) 286-3389,,CMP20222734,41.602005,-81.1844505
Hanson Aggregates A-1 Soils,12560 Highway 67,Lakeside,San Diego County,CA,92040,,Green Material Composting Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022239,32.902857,-116.9503965
Buena Vista County Recycle Center,1263 630th St,Storm Lake,Buena Vista County,IA,50588,,yard waste,,712-732-7171,https://bvcorecycling.com/,CMP20221205,42.605433,-95.1592005
Lar-Lyn Farm Supplies LLC,1266 Back Mountain Rd,Dillwyn,Buckingham County,VA,23936,,mushroom compost,https://www.pubs.ext.vt.edu/content/dam/pubs_ext_vt_edu/452/452-230/SPES-345.pdf,434-983-9533,,CMP20223504,37.454256,-78.397263
Washington County 40 West Landfill,12630 Earth Care Road,Hagerstown,Washington County,MD,21740,,Yard waste,https://www.pubs.ext.vt.edu/content/dam/pubs_ext_vt_edu/452/452-230/SPES-51.pdf,,https://www.washco-md.net/solid-waste-recycling/recycling-info/,CMP20221608,39.664737,-77.8169295
Boone County Landfill,1268 224th Lane,Boone,Boone County,IA,50036,,yard waste,https://programs.iowadnr.gov/solidwaste/reports/DocumentDNA,,,CMP20221206,42.029541,-93.9181725
Inland Empire Regional Composting Fac.,12645 Sixth Street,Rancho Cucamonga,San Bernardino County,CA,91739,,Biosolids Composting at POTWs,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022251,34.084827,-117.529524
"Tree Service Kings, Inc.",12561 Strathem Street,North Hollywood (In Los Angeles),Los Angeles County,CA,91605,,Chipping and Grinding Facility/Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022416,34.2157893,-118.4061535
Green Organics Inc. ,1270 E. Beecher Rd,Bristol,Kendall County,IL,60512,,,https://www2.illinois.gov/epa/topics/waste-management/permitted-facilities/Pages/compost-facilities.aspx,(630) 588-0993,,CMP20221037,41.70193291,-88.46785679
Midwest Material Management ,1270 E. Beecher Rd.,Kendall,Kendall County,IL,60512,Yes,"Pre-consumer Food Scraps, Post-consumer Food Scraps (Fruits and Vegetables, Produce); Yard Trimmings, Leaves, Garden Waste; Brush, Tree Trimmings, Wood Waste",https://illinoiscomposts.org/haulers-processors/,(847) 426-6354,,CMP20221073,41.70193291,-88.46785679
Bailand Farms Yardwaste (Bailey) Compost,12711 Springhetti Road,Snohomish,Snohomish County,WA,98296,Yes,"Agricultural organics, yard debris, food waste",https://ecology.wa.gov/Waste-Toxics/Reducing-recycling-waste/Waste-reduction-programs/Organic-materials/Managing-organics-compost,(360) 568-8826,,CMP20223507,47.880846,-122.0983065
Newstead-Akron Compost,12707 Clarence Center Road,Akron,Erie County,NY,14004,,Yard waste,,,https://www2.erie.gov/newstead/index.php?q=composting-program,CMP20222365,43.01172343,-78.51346166
Recycled Wood Products,12762 S. Sultana Ave.,Ontario,San Bernardino County,CA,91761,,Green Material Composting Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022363,34.0221993,-117.645889
PARCEL 114-22-024A,12757 W ORCHARD LN,Willcox,Graham County,AZ,85643,,,https://adeq.maps.arcgis.com/apps/mapviewer/index.html?layers=c5abba8704814402bda811f5812405fd,,,CMP202230,32.440824,-109.920015
B BAR RANCH- BIG TIMBER,1273 OTTER CREEK ROAD,BIG TIMBER,Sweet Grass County,MT,59011,,"slaughterhouse waste, wood chips, biochar",https://discover-mtdeq.hub.arcgis.com/datasets/MTDEQ::montana-solid-waste-sites/explore?location=46.611451%2C-110.021200%2C6.87&showTable=true,(406) 932-4177,https://bbarbeef.com/our-practices/,CMP20222208,46.023831,-109.88586
Bavarian Trucking Co Inc,12764 McCoy Fork Rd,Walton,Boone County,KY,41094,Yes,"green waste, food waste",https://eec.ky.gov/Environmental-Protection/Waste/Pages/Solid-Waste-Facility-Reports.aspx,859-485-4416,,CMP20221456,38.86289076,-84.65661097
DBLE T PROPERTIES LLC,128 BELL XING WEST,VICTOR,Ravalli County,MT,59875,,,https://discover-mtdeq.hub.arcgis.com/datasets/MTDEQ::montana-solid-waste-sites/explore?location=46.611451%2C-110.021200%2C6.87&showTable=true,,,CMP20222209,46.446048,-114.139746
DEERING TREE SERVICE,12776 SOUTH MAPLE CITY ROAD,MAPLE CITY,Leelanau County,MI,49664,,,https://www.egle.state.mi.us/wdspi/AdvancedSearch.aspx,,,CMP20221891,44.793783,-85.85667
"BARRY RECYCLING, INC.",12801 TOWER RD ,BONITA SPRINGS ,Lee County,FL,,,yard waste,https://fldeploc.dep.state.fl.us/www_wacs/Reports/Yard_Trash_Processors_current_webupdates.asp,(239) 340-1529 ,,CMP2022650,26.353224,-81.741717
Gascoyne Materials Handling & Recycling LLC,12803 90Th St Sw,Scranton,Bowman County,ND,58653,,,https://deq.nd.gov/Publications/WM/CompostingFacilities.pdf,,https://deq.nd.gov/foia/SolidWaste/ActiveSWLandfills.aspx,CMP20222659,46.1189307,-103.045056
GreenCycle Chipping & Grinding Operation,12815 East Imperial Highway,Santa Fe Springs,Los Angeles County,CA,90670,,Chipping and Grinding Facility/Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022231,33.919722,-118.0597455
Hengel Ready Mix & Construction Inc,12883 Upper Sylvan Rd SW,Pillager,Cass County,MN,56473-2380,,Yard Waste,http://www.mncompostingcouncil.org/find-a-compost-site.html,(218) 746-3355,http://www.hengelreadymix.com/,CMP20221997,46.33686,-94.3916715
Berks County Prison,1287 County Welfare Rd,Leesport,Berks County,PA,19533,Yes,"Food waste, yard waste",https://www.dep.pa.gov/Business/Land/Waste/Recycling/Composting/Pages/default.aspx,,,CMP20223055,40.38213317,-76.01662884
Western Reserve Nursery & Garden Ctr Inc,1283 W Western Reserve Rd,Poland,Mahoning County,OH,44514,,"Yard waste (leaves, brush, grass)",https://epa.ohio.gov/Portals/34/document/facility_lists/LICENSED_COMPOSTING_FACILITIES.pdf,(330) 758-8889,,CMP20222735,40.987278,-80.674569
Upper Valley Disposal Service,1285 Whitehall Lane,Saint Helena,Napa County,CA,94574,,Green Material Composting Facility,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022423,38.471706,-122.4396765
City Of Wickliffe Composting Facility,1290 E 289Th St,Wickliffe,Lake County,OH,44092,,"Yard waste (leaves, brush, grass)",https://epa.ohio.gov/Portals/34/document/facility_lists/LICENSED_COMPOSTING_FACILITIES.pdf,,,CMP20222736,41.60465096,-81.48292663
ELITE ENVIRONMENTAL TEXAS LLC,1290 FM 3126,LIVINGSTON,Polk County,TX,77351,,"*yard trimmings, clean wood material, vegetative material, paper, manure",https://www.tceq.texas.gov/permitting/waste_permits/msw_permits/msw-data#lists,,,CMP20223300,30.75995175,-95.04732074
WATSON C&D BORROW PIT,12890 NE STATE ROAD 24 ,ARCHER ,Levy County,FL,,,"yard waste, biosolids, vegetative waste, pre-consumer vegetative waste",https://fldeploc.dep.state.fl.us/www_wacs/Reports/Yard_Trash_Processors_current_webupdates.asp,(352) 495-9948 ,,CMP2022651,29.510037,-82.5569325
"COASTAL WASTE & RECYCLING OF MARTIN COUNTY, LLC",12967 SE SUZANNE DR ,HOBE SOUND ,Martin County,FL,,,yard waste,https://fldeploc.dep.state.fl.us/www_wacs/Reports/Yard_Trash_Processors_current_webupdates.asp,(954) 778-0115 ,,CMP2022653,27.045162,-80.151741
Foley Compost Site,12991 55th St NE,Foley,Benton County,MN,56329,,Yard Waste,http://www.mncompostingcouncil.org/find-a-compost-site.html,(320) 968-4082,https://ci.foley.mn.us/utilities/rubbish/compost-site/,CMP20221990,45.6480213,-93.89477642
Foster Farms Manure Storage Facility,12997 W. Highway 140,Atwater,Merced County,CA,95334,,"Agricultural Material Composting Operation, Research Composting Operation",https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022212,37.29974322,-120.7240046
WASTE MANAGEMENT INC. OF FLORIDA PINELLAS TRANSFER STATION,12950 40TH ST N ,CLEARWATER ,Pinellas County,FL,,,yard waste,https://fldeploc.dep.state.fl.us/www_wacs/Reports/Yard_Trash_Processors_current_webupdates.asp,(941) 720-0564 ,,CMP2022652,27.889479,-82.689327
WACO WOOD RECYCLING,130 DOSHER LN,WACO,McLennan County,TX,76712,,"*yard trimmings, clean wood material, vegetative material, paper, manure",https://www.tceq.texas.gov/permitting/waste_permits/msw_permits/msw-data#lists,,,CMP20223301,31.576536,-97.2900495
DSWA Cherry Island Composting/Mulching,12th St and Hay Rd,Wilmington,New Castle County,DE,19802,,yard waste,https://dnrec.alpha.delaware.gov/waste-hazardous/yard-waste/drop-off-sites/,,,CMP2022596,39.732678,-75.517308
Katrina Mygatt Recycling Center,130 Magee Ave,Stamford,Fairfield County,CT,,Yes,"Leaves, food scraps",https://portal.ct.gov/DEEP/Waste-Management-and-Disposal/Organics-Recycling/Active-Leaf-Composting-Facilities,,https://www.stamfordct.gov/government/operations/recycling-and-sanitation/how-do-i/compost,CMP2022575,41.044563,-73.5288615
City of Cresco CF,130 North Park Place,Cresco,Howard County,IA,52136,,,https://programs.iowadnr.gov/solidwaste/reports/DocumentDNA,,,CMP20221207,43.373835,-92.1147705
Kaiser Enterprises,1300 Fulmer Road,Blythewood,Richland County,SC,29016,,"Yard waste, clean wood waste, land-clearing debris,  crop field residuals",https://scdhec.gov/environment/land-management/solid-waste/solid-waste-facilities,,,CMP20223159,34.154163,-81.0005625
Floralandscape,130 Elmdale Rd,Toledo,Lucas County,OH,43607,,"Yard waste (leaves, brush, grass)",https://epa.ohio.gov/Portals/34/document/facility_lists/LICENSED_COMPOSTING_FACILITIES.pdf,,,CMP20222737,41.636106,-83.617848
CCW Wood Chipping / Grinding,1300 Loveridge Road,Pittsburg,Contra Costa County,CA,94565,,Chipping and Grinding Facility/Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022151,38.018862,-121.858074
Bay View Green Waste Mgt. Company,1300 Carroll Avenue,San Francisco,San Francisco County,CA,94124,,Chipping and Grinding Facility/Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022125,37.722708,-122.3883855
Bountiful City Landfill,1300 West 1600 North,Woods Cross,Davis County,UT,84087,,"green waste, animal carcasses",https://documents.deq.utah.gov/waste-management-and-radiation-control/solid-waste/DSHW-2019-015532.pdf,,https://www.bountifulutah.gov/Landfill,CMP20223427,40.911309,-111.915072
Agromin-Bowles Green Material Composting,13000 Carlucci Rd.,Dos Palos,Merced County,CA,93620,,Green Material Composting Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022105,37.09784453,-120.6806482
"Prairieland Dairy, LLC",13000 Pella Road,Firth,Lancaster County,NE,68358,Yes,"cow manure, food waste (institutional), yard waste (residential)",http://deq.ne.gov/NDEQProg.nsf/FacilityListView.xsp,402-791-2228,https://prairielanddairy.com/prairieland-gold/,CMP20222215,40.553316,-96.5452635
Lawrence Farms LLC Compost Facility,13000 Rd D SW,Royal City,Grant County,WA,99357,,manure & bedding,https://ecology.wa.gov/Waste-Toxics/Reducing-recycling-waste/Waste-reduction-programs/Organic-materials/Managing-organics-compost,(509) 669-2670,,CMP20223531,46.895022,-119.58408
Land and Lakes #5 / Wheeling,1300 Milwaukee Ave,Buffalo Grove,Lake County,IL,60089,Yes,"yard waste, food scraps",https://www2.illinois.gov/epa/topics/waste-management/permitted-facilities/Pages/compost-facilities.aspx,(847) 825-5000,,CMP20221075,42.175341,-87.9253335
Watford City PBR Compost Site,1301 14th St. SW,Watford City,McKenzie County,ND,58854,,Yard Waste,https://deq.nd.gov/Publications/WM/CompostingFacilities.pdf,,https://deq.nd.gov/foia/SolidWaste/ActiveSWLandfills.aspx,CMP20222694,47.788659,-103.305078
SURE-LOCK COMPOSTING,1300 MISSION RIDGE BLVD,EL PASO,El Paso County,TX,79928,,"source separated yard trimmings, clean wood material, wood chips, vegetative material, paper, gypsum and manure",https://www.tceq.texas.gov/permitting/waste_permits/msw_permits/msw-data#lists,,,CMP20223302,31.720905,-106.2491175
SOUTH COUNTY YARD WASTE PROCESSING FACILITY,13000 US 41 SOUTH ,GIBSONTON ,Hillsborough County,FL,33534,,yard waste,https://fldeploc.dep.state.fl.us/www_wacs/Reports/Yard_Trash_Processors_current_webupdates.asp,(813) 326-0527 ,,CMP2022654,27.80127,-82.3820625
Baltimore Compost Collective at Filbert St Garden,1301 Flibert St,Baltimore,Baltimore city,MD,21226,Yes,food scraps,https://baltimorecompostcollective.org/,,,CMP20221614,39.22492558,-76.59360235
One Stop Landscape Supply Center,13024 San Timoteo Canyon Road,Redlands,San Bernardino County,CA,92373,,Composting Facility (Mixed),https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022324,34.021071,-117.2031345
Hensons' Inc. Mulch & More Pineville,13010 Lancaster Hwy,Pineville,Mecklenburg County,NC,28134,,"yard waste, brush, clean wood",https://deq.nc.gov/about/divisions/waste-management/solid-waste-section/solid-waste-facility-lists-presentations-and-annual-reports/solid-waste-facility-lists,(828) 859-5836,,CMP20222612,35.064711,-80.878347
Half Hollow Nursery Inc. (1305 Laurel Lane),1305 Laurel Lane,Laurel,Suffolk County,NY,11948-0536,,Yard Waste,https://data.ny.gov/Energy-Environment/Composting-Solid-Waste-Management-Facilities-Map/y4ic-kfv156,6312989183,,CMP20222436,40.957497,-72.556848
"Freestate Farms, LLC",13012 Balls Ford Rd,Manassas,Prince William County,VA,20109,,"Yard waste, plant-derived pre-consumer waste compost. ",https://www.pubs.ext.vt.edu/content/dam/pubs_ext_vt_edu/452/452-230/SPES-345.pdf,703-542-4540,https://www.freestatefarmsva.com/,CMP20223487,38.788875,-77.564376
MICHIGAN WOOD FIBERS LLC,13057 QUINCY ST,HOLLAND,Ottawa County,MI,49424,,,https://www.egle.state.mi.us/wdspi/AdvancedSearch.aspx,,,CMP20221873,42.841746,-86.104737
R Qubed Energy Mesquite,13085 Stern Dr.,Mesquite,Doña Ana County,NM,88048,,,https://www.env.nm.gov/solid-waste/wp-content/uploads/sites/24/2018/04/SWB_Compost-facilities-open-Oct-28-2019.pdf,915-593-7025,,CMP20222319,32.159493,-106.664058
Prince William County - Balls Ford Yard Waste,13012 Balls Ford Rd,Manassas,Prince William County,VA,20109,Yes,"leaves, brush, grass, garden waste, pre-consumer food waste",https://www.deq.virginia.gov/home/showpublisheddocument/15488/637919249151430000,703-542-4540,,CMP20223494,38.788875,-77.564376
Catalyst BioAmendments LLC,13075 Woolman Lane,Nevada City,Nevada County,CA,95959,,Agricultural Material Composting Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022149,39.266343,-121.0999815
City of Hastings - WEST STATE ROAD COMPOST FACILITY,1303 W STATE RD,HASTINGS,Barry County,MI,49058,,,https://www.egle.state.mi.us/wdspi/AdvancedSearch.aspx,,,CMP20221866,42.65839704,-85.31659212
L ZEEK INC,1309 SW 7TH ST ,WILLISTON ,Levy County,FL,,,yard waste,https://fldeploc.dep.state.fl.us/www_wacs/Reports/Yard_Trash_Processors_current_webupdates.asp,(352) 843-1623 ,,CMP2022655,29.371041,-82.4564475
Mitch Hook,1309 CEDAR CREEK RD,Blythwood,Richland County,SC,29016,,"Yard waste, clean wood waste, land-clearing debris,  crop field residuals",https://scdhec.gov/environment/land-management/solid-waste/solid-waste-facilities,,,CMP20223160,34.190991,-81.122022
Carthage Recycling Cneter,1309 Oak Hill Road,Carthage,Jasper County,MO,64836,,yard waste,https://carthagemo.gov/319/Mulch-Compost,417-237-7024,,CMP20222151,37.1765913,-94.32773184
Village Of Walworth Compost Site,131 Badger St,Walworth,Walworth County,WI,53184,,"BARK/BRUSH, SOURCE-SEPARATED COMPOSTABLE MATERIALS, YARD",https://dnr.wi.gov/wastemgmt/wm/wmexternal/ShellReportViewer.aspx?RID=93&inst=275,2622756648,,CMP20223819,42.537672,-88.5948615
Lisbon,130Th Avenue Se,Lisbon,Ransom County,ND,58054,,,https://deq.nd.gov/Publications/WM/CompostingFacilities.pdf,,https://deq.nd.gov/foia/SolidWaste/ActiveSWLandfills.aspx,CMP20222663,46.33305941,-97.7002785
Villa Park Landscape,13109 Whittram Ave.,Rancho Cucamonga,San Bernardino County,CA,91730,,Green Material Composting Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022431,34.093782,-117.518715
PALMETTO MATERIALS TRANSFER & RECYCLING,1312 16TH AVE E ,PALMETTO ,Manatee County,FL,,,yard waste,https://fldeploc.dep.state.fl.us/www_wacs/Reports/Yard_Trash_Processors_current_webupdates.asp,(727) 220-7869 ,,CMP2022656,27.526257,-82.546749
Recycled Wood Products,1313 East Phillips Blvd.,Pomona,Los Angeles County,CA,91766,,Chipping and Grinding Facility/Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022362,34.045857,-117.729612
Cherry Hill Ecology Center,1309 Kresson Road,Cherry Hill Twp,Camden County,NJ,08002,,Leaves,https://www.nj.gov/dep/dshw/rrtp/classcfc.htm,(856) 424-4422,,CMP20222278,39.88542353,-74.97565436
City Of Enid,1313 East Southgate,ENID,Garfield County,OK,73701,,yard waste,https://www.deq.ok.gov/wp-content/uploads/land-division/active_waste_facilities.pdf,580-616-7382,https://www.enid.org/services/solid-waste/landfill,CMP20222988,36.3616617,-97.85911799
Cloud County,1316 Noble Road,Concordia,Cloud County,KS,66901,,Yard Waste,KDHE,,,CMP20221306,39.508569,-97.681725
LAKE CO. SOLID WASTE MGMT. FACILITY,13130 ASTATULA LANDFILL RD,TAVARES,Lake County,FL,32778,,yard waste,https://fldeploc.dep.state.fl.us/www_wacs/Reports/Yard_Trash_Processors_current_webupdates.asp,(352) 253-1679 ,,CMP2022657,28.80419,-81.73186
Tree & Lawn Landscape Contractors Inc,13159 Woodworth Rd,New Springfield,Mahoning County,OH,44443,,"Yard waste (leaves, brush, grass)",https://epa.ohio.gov/Portals/34/document/facility_lists/LICENSED_COMPOSTING_FACILITIES.pdf,(330) 549-2828,,CMP20222738,40.926645,-80.619462
New Holstein Cty Compost Site,1320 Taft Ave,New Holstein,Calumet County,WI,53061,,YARD,https://dnr.wi.gov/wastemgmt/wm/wmexternal/ShellReportViewer.aspx?RID=93&inst=255,9209608120,,CMP20223739,43.95478805,-88.07958849
Green/Wood Waste Grinding,132 Garden Street,Santa Barbara,Santa Barbara County,CA,93103,,Chipping and Grinding Facility/Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022230,34.41656769,-119.6873168
Nature'S Choice - Upper Deerfield Compost,1310 Route 77,Upper Deerfield Twp,Cumberland County,NJ,08302,,"Leaves, Grass, Brush, Tree Parts, Wood Pallets",https://www.nj.gov/dep/dshw/rrtp/classcfbc.html,(201) 333-5244,,CMP20222295,39.491838,-75.214296
Brown County Landfill,13225 379th Ave,Aberdeen,Brown County,SD,57402,,Yard waste,https://www.brown.sd.us/landfill/grass-leaves,(605) 626-4019,,CMP20223255,45.471186,-98.6241915
Thiensville Public Works Yard,132 W Freistadt Rd,Thiensville,Ozaukee County,WI,53092,,"BARK/BRUSH, YARD",https://dnr.wi.gov/wastemgmt/wm/wmexternal/ShellReportViewer.aspx?RID=93&inst=117,2622423720,,CMP20223794,43.2362553,-87.98829064
Ottawa Composting Facility,1323 N Defiance St,Ottawa,Putnam County,OH,45875,,"Yard waste (leaves, brush, grass)",https://epa.ohio.gov/Portals/34/document/facility_lists/LICENSED_COMPOSTING_FACILITIES.pdf,(419) 523-5020,,CMP20222739,41.031144,-84.0526965
FIsher Environmental Type 1 Compost Facility,1323 North Post Road,Shelby,Cleveland County,NC,28150,,"yard waste, brush, clean wood",https://deq.nc.gov/about/divisions/waste-management/solid-waste-section/solid-waste-facility-lists-presentations-and-annual-reports/solid-waste-facility-lists,(704) 692-4202,,CMP20222623,35.323803,-81.496458
BOYNE CITY-NORTH BOYNE YARD,1321 ROBINSON ST,BOYNE CITY,Charlevoix County,MI,49712,,,https://www.egle.state.mi.us/wdspi/AdvancedSearch.aspx,,,CMP20221833,45.22825702,-85.02925538
Boomerang Derecho Site,13255 Circle Dr Suite A,Anamosa,Jones County,IA,52205,,,https://programs.iowadnr.gov/solidwaste/reports/DocumentDNA,,,CMP20221208,42.12574828,-91.26262964
Indian River Co. Yard Waste Processing Facility,1325 74th Ave SW,Vero Beach,Indian River County,FL,,,yard waste,https://floridaforce.org/facilities/,772-770-5112,,CMP2022658,27.579627,-80.48079
Ottumwa-Wapello Compost Site,13277 165th Ave,Ottumwa,Wapello County,IA,52501,Yes,"yard waste, food scraps",https://programs.iowadnr.gov/solidwaste/reports/DocumentDNA,641-683-0685,,CMP20221209,41.079609,-92.4765345
Joyce Farms Recycling Inc. ,13256 W 3000 N Road,Essex,Kankakee County,IL,60935,,yard waste,https://www2.illinois.gov/epa/topics/waste-management/permitted-facilities/Pages/compost-facilities.aspx,(815) 426-2133,,CMP20221041,41.152392,-88.1333055
Skagit Soils Inc,13260 Ball Road,Mount Vernon,Skagit County,WA,98273,Yes,"agricultural organics, food waste, yard debris",https://ecology.wa.gov/Waste-Toxics/Reducing-recycling-waste/Waste-reduction-programs/Organic-materials/Managing-organics-compost,(360) 424-0199,,CMP20223550,48.45267,-122.440095
Lindstrom Area Compost Site,13292 Sylvan Ave,Lindstrom,Chisago County,MN,55045-8455,,Yard Waste,http://www.mncompostingcouncil.org/find-a-compost-site.html,(651) 257-0620,https://www.cityoflindstrom.us/public-works/pages/area-compost-site,CMP20222014,45.388755,-92.8375695
Washington State Prison,13262 Hwy 24 East,Davisboro,Washington County,GA,31018,,,https://epd.georgia.gov/search?search=solid+waste+facilities&sm_site_name=epd,478-348-2246,,CMP2022938,32.98615687,-82.59729526
Anoka/Bunker Hills Compost Site,13285 Hanson Blvd,Coon Rapids,Anoka County,MN,55303,,Yard Waste,http://www.mncompostingcouncil.org/find-a-compost-site.html,(763) 862-0005,https://www.anokacountymn.gov/360/County-Organics-Drop-off-Program,CMP20221953,45.21180123,-93.30613501
"McFarlane's Bark, Inc.",13345 SE JOHNSON RD,MILWAUKIE,Clackamas County,OR,97222,,"green waste, sod, clean wood",https://www.deq.state.or.us/lq/sw/disposal/permittedfacilities.htm,(503) 659-4240,https://www.mcfarlanesbark.com/index.html,CMP20223029,45.426906,-122.5825335
Clay County,1330 21st Road,,Clay County,KS,67432,,"Source-Separated (Grain/Crop Residue, wood chips, misc), Yard Waste",KDHE,,,CMP20221307,39.422304,-97.1408655
Oak Tree Worm Farm- Chip&Grind (Compost),13326 Little Tujunga Canyon,Canyon Country (In Santa Clarita),Los Angeles County,CA,91342,,Chipping and Grinding Facility/Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022317,34.305237,-118.3463955
Howard Vil,1336 Cornell Rd,Green Bay,Brown County,WI,54313,,"WOOD MATTER, BARK/BRUSH, YARD",https://dnr.wi.gov/wastemgmt/wm/wmexternal/ShellReportViewer.aspx?RID=93&inst=89,,,CMP20223689,44.579241,-88.0682355
Taft Recycling & Sanitary Landfill,13351 Elk Hills Road,Taft,Kern County,CA,93268,,Green Material Composting Facility,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022406,35.20300865,-119.4457127
West Valley Materials Recovery Facility,13373 Napa Street,Fontana,San Bernardino County,CA,92335,,Composting Facility (Mixed),https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022444,34.088841,-117.5117175
Sanford'S Mulching Facility,13-3820 Pahoa Kalapana Rd.,Pahoa,Hawaii County,HI,96778,,Greenwaste,https://hdoa.hawaii.gov/wp-content/uploads/2019/06/DOH-List-of-Regulated-Commerical-Composting-Facilities-v2.pdf,808.965.8144,,CMP2022997,19.43480887,-154.945543
Doodlebug Ranches LLC dba Paicines Ranch,13388 Old Airline Highway,Paicines,San Benito County,CA,95043,,Agricultural Material Composting Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022185,36.715887,-121.289562
Bear Path Farm,134 Webber Road,Whately,Franklin County,MA,01093,Yes,food waste,https://www.mass.gov/doc/map-list-of-massachusetts-sites-accepting-diverted-food-material-april-2022/download,,,CMP20221822,42.43491,-72.678024
Town Of Eliot,1333 State Road,"Eliot, Town of",York County,ME,03903,,yard waste,https://www.maine.gov/dep/ftp/reports/leaf-and-yard-compost.pdf,,,CMP20221554,43.124868,-70.79078105
TRENDSETTER CONSTRUCTION,13414 FM 206,TYLER,Smith County,TX,75709,,"*source-separated meat, fish, dead animal carcasses, oils, greases, or dairy materials; w/ or w/o yard trimmings, clean wood material, vegetative material, paper, manure",https://www.tceq.texas.gov/permitting/waste_permits/msw_permits/msw-data#lists,,,CMP20223303,32.325867,-95.3914095
Village Of Fairport Harbor,1340 East St,Fairport Harbor,Lake County,OH,44077,,"Yard waste (leaves, brush, grass)",https://epa.ohio.gov/Portals/34/document/facility_lists/LICENSED_COMPOSTING_FACILITIES.pdf,(216) 352-3620,,CMP20222740,41.73894,-81.2667555
St Croix Falls Municipal Compost Facility,134 220th St,Saint Croix Falls,Polk County,WI,54024,,"YARD, BARK/BRUSH, SOURCE-SEPARATED COMPOSTABLE MATERIALS",https://dnr.wi.gov/wastemgmt/wm/wmexternal/ShellReportViewer.aspx?RID=93&inst=145,,,CMP20223786,45.39552297,-92.61087477
Artesia Sawdust Products,13434 South Ontario Avenue,Ontario,San Bernardino County,CA,971761,,Green Material Composting Facility,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022113,34.009425,-117.602388
Boston Bark Compost Site,135 Elm St.,Waltham,Middlesex County,MA,02453,,,https://recyclingworksma.com/,,,CMP20221760,42.37265148,-71.23225992
Holland Mulch - Edgemoor,135 Hay Rd,Edgemoor,New Castle County,DE,,,yard waste,https://dnrec.alpha.delaware.gov/waste-hazardous/yard-waste/drop-off-sites/,302-765-3100,,CMP2022597,39.748653,-75.505806
